,epoch,Train_accuracy,Test_accuracy
0,1,15.573999999999998,31.480000000000004
1,2,19.688,39.85
2,3,22.317999999999998,43.93
3,4,24.282,46.14
4,5,25.768,48.83
5,6,27.132,51.53
6,7,28.364,53.82
7,8,29.278,55.34
8,9,30.5,56.48
9,10,31.452,57.37
10,11,32.686,56.81
11,12,33.692,57.65
12,13,35.11,57.95
13,14,36.142,56.63
14,15,37.754,56.28999999999999
15,16,39.296,53.779999999999994
16,17,40.89,53.010000000000005
17,18,42.948,52.65
18,19,45.18,50.129999999999995
19,20,47.554,49.0
20,21,49.928,46.17
21,22,52.466,45.78
22,23,55.135999999999996,42.28
23,24,57.482,41.63
24,25,60.138000000000005,39.31
25,26,62.897999999999996,38.9
26,27,65.49000000000001,38.18
27,28,68.098,36.57
28,29,70.344,37.13
29,30,72.48599999999999,35.69
30,31,74.738,35.28
31,32,76.50200000000001,34.42
32,33,78.154,32.25
33,34,80.048,34.22
34,35,81.27799999999999,33.43
35,36,82.724,31.209999999999997
36,37,83.56400000000001,32.76
37,38,84.842,30.880000000000003
38,39,85.87,31.69
39,40,86.766,30.709999999999997
40,41,87.67399999999999,32.17
41,42,88.266,31.59
42,43,88.66199999999999,29.34
43,44,89.744,30.869999999999997
44,45,89.736,31.09
45,46,90.494,30.11
46,47,90.89399999999999,31.64
47,48,91.158,30.490000000000002
48,49,91.85799999999999,30.89
49,50,91.956,30.620000000000005
50,51,92.04599999999999,31.509999999999998
51,52,92.60000000000001,31.03
52,53,92.794,30.69
53,54,93.446,29.909999999999997
54,55,93.012,30.19
55,56,93.498,30.759999999999998
56,57,93.748,30.070000000000004
57,58,93.73,30.95
58,59,94.394,29.38
59,60,93.884,30.03
60,61,94.336,32.22
61,62,94.44,31.3
62,63,94.784,31.31
63,64,94.65,30.380000000000003
64,65,94.422,30.209999999999997
65,66,95.04599999999999,31.03
66,67,94.918,30.11
67,68,94.87,31.16
68,69,95.36200000000001,30.75
69,70,94.91000000000001,32.019999999999996
70,71,95.514,30.930000000000003
71,72,95.242,31.269999999999996
72,73,95.49,30.759999999999998
73,74,95.628,30.320000000000004
74,75,95.526,30.9
75,76,95.682,30.930000000000003
76,77,95.794,29.549999999999997
77,78,95.76,30.490000000000002
78,79,95.84,29.509999999999998
79,80,95.86,29.49
80,81,95.928,29.24
81,82,96.148,31.47
82,83,95.87400000000001,29.310000000000002
83,84,95.914,31.169999999999998
84,85,96.2,29.42
85,86,96.124,31.130000000000003
86,87,96.494,31.509999999999998
87,88,96.16799999999999,31.06
88,89,96.38,31.56
89,90,96.15,29.970000000000002
90,91,96.608,31.009999999999998
91,92,96.158,30.69
92,93,96.694,30.85
93,94,96.37400000000001,31.22
94,95,96.77799999999999,30.4
95,96,96.368,29.970000000000002
96,97,96.624,32.6
97,98,96.896,30.59
98,99,96.684,30.599999999999998
99,100,96.476,32.09
100,101,97.074,30.769999999999996
101,102,96.732,30.209999999999997
102,103,96.718,29.310000000000002
103,104,96.918,30.59
104,105,96.74199999999999,31.2
105,106,97.074,31.28
106,107,96.624,31.169999999999998
107,108,96.93,31.169999999999998
108,109,96.842,30.59
109,110,96.976,30.89
110,111,97.208,32.04
111,112,96.898,32.57
112,113,97.182,30.61
113,114,96.988,31.830000000000002
114,115,97.414,31.36
115,116,96.99600000000001,29.92
116,117,97.24199999999999,30.020000000000003
117,118,97.328,32.4
118,119,97.234,30.4
119,120,97.182,30.86
120,121,97.502,30.990000000000002
121,122,97.108,30.06
122,123,97.356,31.069999999999997
123,124,97.052,31.05
124,125,97.566,31.53
125,126,97.24000000000001,31.009999999999998
126,127,97.372,31.69
127,128,97.30799999999999,30.29
128,129,97.208,31.22
129,130,97.464,30.64
130,131,97.816,31.1
131,132,97.25200000000001,31.22
132,133,97.426,30.3
133,134,97.596,31.1
134,135,97.396,31.59
135,136,97.372,31.72
136,137,97.5,31.830000000000002
137,138,97.542,30.18
138,139,97.6,30.98
139,140,97.49,31.47
140,141,97.65599999999999,30.06
141,142,97.502,31.09
142,143,97.402,31.77
143,144,97.604,31.730000000000004
144,145,97.68599999999999,31.8
145,146,97.586,32.129999999999995
146,147,97.64,31.490000000000002
147,148,97.50999999999999,32.04
148,149,97.82600000000001,29.65
149,150,97.752,31.259999999999998
150,151,97.6,30.94
151,152,97.736,31.069999999999997
152,153,97.71,31.4
153,154,97.678,31.230000000000004
154,155,97.95,30.380000000000003
155,156,97.508,31.95
156,157,97.866,30.15
157,158,97.66,29.830000000000002
158,159,97.662,31.130000000000003
159,160,97.924,31.95
160,161,97.726,31.39
161,162,97.952,31.3
162,163,97.58,30.769999999999996
163,164,97.99799999999999,31.85
164,165,97.488,31.86
165,166,98.17399999999999,30.89
166,167,97.64,31.680000000000003
167,168,98.006,31.75
168,169,97.794,30.36
169,170,97.854,31.230000000000004
170,171,98.102,30.84
171,172,97.758,30.830000000000002
172,173,97.99799999999999,31.380000000000003
173,174,98.078,31.480000000000004
174,175,97.856,31.209999999999997
175,176,97.944,30.599999999999998
176,177,97.872,30.7
177,178,98.142,31.05
178,179,97.898,30.959999999999997
179,180,97.926,32.16
180,181,98.112,30.97
181,182,98.026,30.009999999999998
182,183,98.072,31.380000000000003
183,184,98.048,29.459999999999997
184,185,97.916,30.880000000000003
185,186,98.068,30.570000000000004
186,187,97.88,30.209999999999997
187,188,97.946,31.230000000000004
188,189,98.164,29.17
189,190,98.104,31.819999999999997
190,191,97.768,30.97
191,192,97.982,29.87
192,193,98.21,30.990000000000002
193,194,98.092,31.04
194,195,98.38,31.91
195,196,97.804,30.349999999999998
196,197,98.292,31.580000000000002
197,198,98.138,32.019999999999996
198,199,98.11999999999999,30.349999999999998
199,200,98.13199999999999,31.09
200,201,98.11999999999999,31.72
201,202,98.116,30.320000000000004
202,203,98.24000000000001,30.630000000000003
203,204,98.016,30.86
204,205,98.31800000000001,32.15
205,206,98.11999999999999,31.180000000000003
206,207,98.27799999999999,30.869999999999997
207,208,97.912,31.11
208,209,98.304,31.25
209,210,98.172,32.32
210,211,98.348,30.099999999999998
211,212,98.014,30.520000000000003
212,213,98.148,31.86
213,214,98.232,31.16
214,215,98.122,31.900000000000002
215,216,98.416,31.759999999999998
216,217,98.102,31.259999999999998
217,218,98.404,31.96
218,219,98.194,30.23
219,220,98.286,30.680000000000003
220,221,98.222,31.430000000000003
221,222,98.336,30.5
222,223,98.214,30.89
223,224,98.252,30.64
224,225,98.47,30.520000000000003
225,226,98.29,31.66
226,227,98.36200000000001,30.79
227,228,98.252,31.34
228,229,98.214,31.39
229,230,98.34,31.36
230,231,98.268,31.03
231,232,98.29,31.169999999999998
232,233,98.428,32.86
233,234,98.298,31.669999999999998
234,235,98.426,31.05
235,236,98.358,31.66
236,237,98.078,30.61
237,238,98.394,30.240000000000002
238,239,98.482,30.159999999999997
239,240,98.284,30.919999999999998
240,241,98.34,32.87
241,242,98.17399999999999,32.14
242,243,98.334,31.11
243,244,98.3,31.009999999999998
244,245,98.38799999999999,31.4
245,246,98.446,30.7
246,247,98.26599999999999,31.669999999999998
247,248,98.324,31.52
248,249,98.30600000000001,30.759999999999998
249,250,98.268,30.330000000000002
250,251,98.528,32.23
251,252,98.44800000000001,30.85
252,253,98.37,30.930000000000003
253,254,98.36,31.41
254,255,98.53,29.770000000000003
255,256,98.438,30.330000000000002
256,257,98.57000000000001,31.979999999999997
257,258,98.346,31.290000000000003
258,259,98.458,31.22
259,260,98.426,31.269999999999996
260,261,98.4,30.11
261,262,98.328,31.230000000000004
262,263,98.612,30.42
263,264,98.494,31.080000000000002
264,265,98.292,31.1
265,266,98.59599999999999,31.09
266,267,98.29,31.669999999999998
267,268,98.556,31.009999999999998
268,269,98.514,31.09
269,270,98.434,31.56
270,271,98.434,31.64
271,272,98.44000000000001,31.979999999999997
272,273,98.558,31.15
273,274,98.42999999999999,31.330000000000002
274,275,98.61,31.3
275,276,98.4,31.269999999999996
276,277,98.502,30.930000000000003
277,278,98.478,31.540000000000003
278,279,98.662,31.35
279,280,98.508,31.419999999999998
280,281,98.604,31.41
281,282,98.59400000000001,33.019999999999996
282,283,98.334,32.440000000000005
283,284,98.614,30.37
284,285,98.6,31.490000000000002
285,286,98.536,31.730000000000004
286,287,98.598,30.3
287,288,98.37,31.840000000000003
288,289,98.556,31.119999999999997
289,290,98.61,31.19
290,291,98.532,30.78
291,292,98.458,31.09
292,293,98.744,31.25
293,294,98.432,31.86
294,295,98.572,31.75
295,296,98.49,30.659999999999997
296,297,98.654,31.730000000000004
297,298,98.666,30.819999999999997
298,299,98.59599999999999,30.7
299,300,98.63199999999999,31.66
300,301,98.604,30.630000000000003
301,302,98.628,31.53
302,303,98.536,31.019999999999996
303,304,98.74000000000001,30.919999999999998
304,305,98.59,32.029999999999994
305,306,98.45,30.65
306,307,98.58200000000001,31.47
307,308,98.624,30.97
308,309,98.55000000000001,31.14
309,310,98.668,30.049999999999997
310,311,98.478,30.9
311,312,98.9,31.04
312,313,98.386,30.78
313,314,98.776,30.81
314,315,98.47399999999999,30.31
315,316,98.81400000000001,31.09
316,317,98.29,31.97
317,318,98.782,30.520000000000003
318,319,98.534,31.94
319,320,98.638,30.599999999999998
320,321,98.83800000000001,33.339999999999996
321,322,98.47,30.14
322,323,98.68400000000001,32.72
323,324,98.67,29.57
324,325,98.71799999999999,31.380000000000003
325,326,98.77,31.69
326,327,98.58200000000001,31.919999999999998
327,328,98.646,31.130000000000003
328,329,98.706,31.540000000000003
329,330,98.758,31.97
330,331,98.592,32.71
331,332,98.708,31.52
332,333,98.83999999999999,30.69
333,334,98.774,31.430000000000003
334,335,98.564,31.819999999999997
335,336,98.706,30.45
336,337,98.856,32.62
337,338,98.554,31.59
338,339,98.746,31.31
339,340,98.656,31.44
340,341,98.672,31.290000000000003
341,342,98.702,31.169999999999998
342,343,98.556,32.34
343,344,98.804,31.75
344,345,98.69,32.26
345,346,98.698,31.16
346,347,98.618,31.369999999999997
347,348,98.66,31.180000000000003
348,349,98.7,30.709999999999997
349,350,98.80799999999999,31.09
350,351,98.548,31.230000000000004
351,352,98.744,31.52
352,353,98.672,31.22
353,354,98.81,31.31
354,355,98.724,32.269999999999996
355,356,98.772,31.31
356,357,98.734,31.380000000000003
357,358,98.634,30.95
358,359,98.752,31.130000000000003
359,360,98.736,32.05
360,361,98.77,31.31
361,362,98.85000000000001,31.71
362,363,98.79400000000001,31.380000000000003
363,364,98.66,31.31
364,365,98.788,31.72
365,366,98.82600000000001,31.580000000000002
366,367,98.776,31.879999999999995
367,368,98.68400000000001,31.130000000000003
368,369,98.82600000000001,31.430000000000003
369,370,98.75,31.71
370,371,98.872,30.659999999999997
371,372,98.70400000000001,31.680000000000003
372,373,98.746,31.259999999999998
373,374,98.722,30.630000000000003
374,375,98.694,30.86
375,376,98.79599999999999,31.0
376,377,98.67,30.81
377,378,98.856,30.91
378,379,98.944,31.569999999999997
379,380,98.71799999999999,30.43
380,381,98.748,31.71
381,382,98.722,30.85
382,383,98.976,30.85
383,384,98.65,31.53
384,385,98.87599999999999,31.169999999999998
385,386,98.75399999999999,30.759999999999998
386,387,98.68,31.89
387,388,98.774,31.78
388,389,98.698,31.369999999999997
389,390,98.894,31.56
