,epoch,Train_accuracy,Test_accuracy
0,1,15.693999999999999,33.15
1,2,19.939999999999998,40.28
2,3,22.726,45.269999999999996
3,4,24.54,45.76
4,5,26.284000000000002,50.56
5,6,27.983999999999998,51.41
6,7,29.194,56.15
7,8,30.380000000000003,56.66
8,9,31.72,57.37
9,10,32.73,59.08
10,11,34.07,58.10999999999999
11,12,35.376000000000005,56.97
12,13,36.96,56.230000000000004
13,14,38.401999999999994,55.669999999999995
14,15,40.288000000000004,52.53
15,16,42.422,51.03
16,17,44.656,50.82
17,18,46.88,50.029999999999994
18,19,49.508,47.56
19,20,52.234,46.18
20,21,55.094,44.03
21,22,57.85,41.349999999999994
22,23,60.436,39.989999999999995
23,24,63.17,39.65
24,25,66.01,37.75
25,26,68.72399999999999,36.69
26,27,71.048,36.6
27,28,73.11999999999999,34.54
28,29,75.344,35.260000000000005
29,30,77.27199999999999,33.660000000000004
30,31,79.002,34.25
31,32,80.34599999999999,33.09
32,33,81.97,32.66
33,34,83.116,33.36
34,35,84.434,31.900000000000002
35,36,85.09400000000001,30.2
36,37,86.044,33.42
37,38,87.14,31.730000000000004
38,39,87.76,31.240000000000002
39,40,88.39200000000001,32.26
40,41,88.992,30.659999999999997
41,42,89.92599999999999,31.34
42,43,90.25999999999999,29.599999999999998
43,44,90.598,30.709999999999997
44,45,91.0,29.95
45,46,91.714,30.880000000000003
46,47,92.06,32.019999999999996
47,48,92.184,31.5
48,49,92.29,29.23
49,50,92.792,31.569999999999997
50,51,93.104,30.470000000000002
51,52,93.314,29.54
52,53,93.162,31.4
53,54,93.944,30.209999999999997
54,55,93.976,31.540000000000003
55,56,93.986,29.799999999999997
56,57,94.272,31.019999999999996
57,58,94.34,30.709999999999997
58,59,94.592,30.490000000000002
59,60,94.518,30.049999999999997
60,61,94.744,30.709999999999997
61,62,94.486,30.459999999999997
62,63,95.084,31.569999999999997
63,64,95.304,31.130000000000003
64,65,94.92,30.020000000000003
65,66,95.538,31.34
66,67,95.396,29.87
67,68,95.372,31.290000000000003
68,69,95.452,31.06
69,70,95.638,31.46
70,71,95.624,31.14
71,72,95.682,31.759999999999998
72,73,95.654,31.430000000000003
73,74,95.832,30.930000000000003
74,75,95.78,32.029999999999994
75,76,95.88,31.869999999999997
76,77,96.224,30.91
77,78,95.992,31.22
78,79,96.3,29.709999999999997
79,80,96.11,29.799999999999997
80,81,96.312,29.38
81,82,96.108,30.8
82,83,96.36200000000001,30.37
83,84,96.518,32.59
84,85,96.532,31.369999999999997
85,86,96.392,31.330000000000002
86,87,96.648,30.459999999999997
87,88,96.72800000000001,30.459999999999997
88,89,96.514,31.14
89,90,96.494,31.09
90,91,96.638,30.409999999999997
91,92,96.71,30.380000000000003
92,93,96.698,30.72
93,94,96.84,30.18
94,95,96.69,30.620000000000005
95,96,96.714,31.16
96,97,97.136,31.05
97,98,96.724,30.209999999999997
98,99,96.66799999999999,31.430000000000003
99,100,97.158,31.169999999999998
100,101,96.724,30.03
101,102,97.188,31.03
102,103,96.822,29.78
103,104,97.128,31.840000000000003
104,105,97.062,29.299999999999997
105,106,96.916,32.269999999999996
106,107,97.372,30.959999999999997
107,108,97.054,29.86
108,109,97.268,30.520000000000003
109,110,97.28,31.11
110,111,97.08200000000001,30.630000000000003
111,112,97.30199999999999,31.56
112,113,97.272,31.2
113,114,97.284,31.619999999999997
114,115,97.272,30.769999999999996
115,116,97.224,30.72
116,117,97.274,30.869999999999997
117,118,97.44800000000001,30.880000000000003
118,119,97.11999999999999,29.93
119,120,97.48400000000001,31.03
120,121,97.48400000000001,31.55
121,122,97.322,30.56
122,123,97.64399999999999,30.94
123,124,97.49600000000001,29.160000000000004
124,125,97.46000000000001,32.2
125,126,97.346,31.61
126,127,97.57400000000001,31.630000000000003
127,128,97.426,29.43
128,129,97.548,30.3
129,130,97.508,30.97
130,131,97.488,29.849999999999998
131,132,97.762,30.620000000000005
132,133,97.526,30.54
133,134,97.82,31.380000000000003
134,135,97.764,29.01
135,136,97.368,31.3
136,137,97.744,31.53
137,138,97.468,31.64
138,139,97.726,31.55
139,140,97.59400000000001,30.19
140,141,97.83,30.759999999999998
141,142,97.72999999999999,30.23
142,143,97.798,31.25
143,144,97.674,30.91
144,145,97.748,30.2
145,146,97.83,30.85
146,147,97.67,30.43
147,148,97.854,30.570000000000004
148,149,97.648,30.89
149,150,97.94800000000001,31.330000000000002
150,151,97.744,32.0
151,152,98.03399999999999,31.25
152,153,97.8,31.78
153,154,97.868,31.04
154,155,98.012,32.22
155,156,97.85199999999999,30.3
156,157,98.02,31.47
157,158,97.708,31.47
158,159,97.882,30.769999999999996
159,160,97.966,30.15
160,161,97.974,31.15
161,162,97.822,32.26
162,163,97.898,31.330000000000002
163,164,98.066,30.36
164,165,98.058,31.759999999999998
165,166,97.98,31.28
166,167,97.96000000000001,29.89
167,168,98.05,30.490000000000002
168,169,97.908,30.79
169,170,98.148,31.72
170,171,98.048,31.81
171,172,97.946,31.09
172,173,98.176,31.64
173,174,98.136,31.009999999999998
174,175,97.99600000000001,30.8
175,176,98.112,30.4
176,177,97.94,30.94
177,178,98.26,31.569999999999997
178,179,98.038,30.59
179,180,98.09400000000001,31.879999999999995
180,181,98.20400000000001,31.0
181,182,97.98,31.75
182,183,98.168,31.59
183,184,98.128,30.8
184,185,98.27,31.269999999999996
185,186,98.02199999999999,31.94
186,187,98.13199999999999,31.480000000000004
187,188,98.282,31.290000000000003
188,189,98.26,30.11
189,190,98.026,31.369999999999997
190,191,98.238,33.19
191,192,98.152,30.9
192,193,98.32,30.320000000000004
193,194,98.044,30.98
194,195,98.198,30.59
195,196,98.13,30.81
196,197,98.386,31.7
197,198,98.096,31.169999999999998
198,199,98.382,31.580000000000002
199,200,98.084,30.97
200,201,98.504,29.509999999999998
201,202,98.226,30.759999999999998
