,epoch,Train_accuracy,Test_accuracy
0,1,32.2,41.57
1,2,44.891999999999996,46.550000000000004
2,3,50.849999999999994,53.190000000000005
3,4,55.752,57.48
4,5,60.455999999999996,60.699999999999996
5,6,64.19399999999999,65.55
6,7,66.968,66.14
7,8,69.32199999999999,67.57
8,9,71.52,68.89999999999999
9,10,73.722,70.95
10,11,75.164,72.09
11,12,77.212,73.07000000000001
12,13,78.656,73.7
13,14,80.41,72.78999999999999
14,15,81.782,74.66000000000001
15,16,83.276,74.28
16,17,84.438,74.3
17,18,85.996,74.22999999999999
18,19,87.154,74.59
19,20,88.228,74.85000000000001
20,21,89.376,75.39
21,22,90.684,74.83
22,23,91.45,74.64
23,24,92.718,74.22999999999999
24,25,93.522,74.88
25,26,94.19999999999999,74.69
26,27,95.00999999999999,74.17
27,28,95.356,74.59
28,29,95.966,74.75
29,30,96.15,74.44
30,31,96.48400000000001,74.15
31,32,96.828,74.49
32,33,97.10600000000001,74.0
33,34,97.21600000000001,74.38
34,35,97.35000000000001,75.11
35,36,97.60799999999999,74.67
36,37,97.478,74.74
37,38,97.85000000000001,74.3
38,39,97.776,74.02
39,40,97.908,74.24
40,41,97.938,74.00999999999999
41,42,97.978,74.82
42,43,98.07000000000001,74.45
43,44,98.234,74.66000000000001
44,45,98.284,74.42
45,46,98.088,74.17
46,47,98.22999999999999,74.55000000000001
47,48,98.374,74.32
48,49,98.412,74.15
49,50,98.468,74.07000000000001
50,51,98.55199999999999,74.56
51,52,98.29599999999999,74.4
52,53,98.548,74.64
53,54,98.438,74.99
54,55,98.752,74.44
55,56,98.548,74.17
56,57,98.65,74.25
57,58,98.664,75.05
58,59,98.636,74.91
59,60,98.68,74.33
60,61,98.786,75.13
61,62,98.758,74.53
62,63,98.712,74.57000000000001
63,64,98.934,75.02
64,65,98.764,74.97
65,66,98.868,74.88
66,67,98.85199999999999,74.28
67,68,98.79,75.36
68,69,98.96000000000001,75.05
69,70,98.89,73.96000000000001
70,71,98.888,74.72
71,72,98.884,74.99
72,73,98.92,74.00999999999999
73,74,98.978,74.63
74,75,98.99799999999999,74.78
75,76,99.00999999999999,75.0
76,77,99.09,75.08
77,78,98.82,74.94
78,79,98.978,74.87
79,80,99.02,74.56
80,81,99.08200000000001,74.85000000000001
81,82,99.018,74.4
82,83,99.006,75.32
83,84,99.146,73.94
84,85,99.046,75.12
85,86,99.014,73.92
86,87,99.104,74.83
87,88,99.054,75.14999999999999
88,89,99.156,75.03999999999999
89,90,99.054,74.7
90,91,99.21,74.58
91,92,99.158,75.29
92,93,99.10799999999999,75.27000000000001
93,94,99.188,75.06
94,95,99.31,75.25
95,96,99.166,75.42
96,97,99.156,74.91
97,98,99.17399999999999,74.78
98,99,99.316,75.42
99,100,99.17200000000001,75.44
100,101,99.17200000000001,75.33999999999999
101,102,99.214,75.22
102,103,99.408,75.41
103,104,99.10799999999999,76.14999999999999
104,105,99.274,74.53
105,106,99.158,75.36
106,107,99.272,75.21
107,108,99.25399999999999,75.07000000000001
108,109,99.28399999999999,75.52
109,110,99.332,75.0
110,111,99.212,75.3
111,112,99.374,75.41
112,113,99.202,74.92
113,114,99.32600000000001,74.77000000000001
114,115,99.348,75.36
115,116,99.318,75.32
116,117,99.30799999999999,75.78
117,118,99.348,75.08
118,119,99.394,75.83
119,120,99.28,75.16000000000001
120,121,99.276,75.1
121,122,99.342,74.75
122,123,99.45,76.01
123,124,99.29,75.16000000000001
124,125,99.346,74.94
125,126,99.328,75.47
126,127,99.318,75.86
127,128,99.414,75.94
128,129,99.318,74.95
129,130,99.456,75.05
130,131,99.286,74.77000000000001
131,132,99.298,75.13
132,133,99.47,75.2
133,134,99.346,74.19
134,135,99.288,75.64
135,136,99.502,75.07000000000001
136,137,99.278,75.31
137,138,99.374,74.83
138,139,99.47399999999999,75.05
139,140,99.274,75.27000000000001
140,141,99.524,74.42
141,142,99.394,75.31
142,143,99.42,74.7
143,144,99.422,75.44999999999999
144,145,99.392,75.08
145,146,99.35000000000001,75.17
146,147,99.44800000000001,75.56
147,148,99.502,75.05
148,149,99.464,75.36
149,150,99.434,75.48
150,151,99.456,74.57000000000001
151,152,99.46199999999999,75.33
