,epoch,Train_accuracy,Test_accuracy
0,1,1.05,1
1,2,1.016,1.16
2,3,1.042,1
3,4,1.124,1
4,5,1.134,1
5,6,1.182,1.03
6,7,1.164,1
7,8,1.224,1
8,9,1.252,1
9,10,1.206,1.11
10,11,1.204,1.05
11,12,1.154,1
12,13,1.166,1
13,14,1.146,1
14,15,1.162,1
15,16,1.176,1
16,17,1.17,1.01
17,18,1.168,1
18,19,1.192,1.2
19,20,1.164,1.13
20,21,1.12,1.2
21,22,1.158,1
22,23,1.194,0.97
23,24,1.218,1.01
24,25,1.218,1
25,26,1.232,1.02
26,27,1.186,1.03
27,28,1.21,1.02
28,29,1.24,0.99
29,30,1.17,0.94
30,31,1.27,1.14
31,32,1.212,1.07
32,33,1.258,0.98
33,34,1.292,0.93
34,35,1.302,1.07
35,36,1.448,1.03
36,37,1.564,1.06
37,38,1.648,1.1
38,39,1.694,1
39,40,1.73,0.89
40,41,1.896,1
41,42,1.94,0.95
42,43,2,0.9
43,44,2.114,0.88
44,45,2.162,0.83
45,46,2.292,0.8
46,47,2.376,1.07
47,48,2.448,0.87
48,49,2.72,0.82
49,50,2.792,0.91
50,51,2.862,1.16
51,52,3.052,1.13
52,53,3.204,1.03
53,54,3.088,1.06
54,55,3.078,1.12
55,56,3.32,1.12
56,57,3.86,1.07
57,58,3.968,0.97
58,59,3.63,0.99
59,60,3.702,1
60,61,4.18,1.02
61,62,4.532,0.95
62,63,4.59,1.06
63,64,4.126,1.14
64,65,4.144,1.18
65,66,4.542,1.13
66,67,5.192,1.09
67,68,5.454,1.07
68,69,5.094,1.05
69,70,4.91,1.12
70,71,4.99,1.06
71,72,5.762,0.98
72,73,6.512,1.05
73,74,6.398,1.07
74,75,5.514,1.06
75,76,5.612,0.97
76,77,6.73,1.03
77,78,7.126,1.08
78,79,6.826,1.03
79,80,6.51,1.04
80,81,6.762,1.03
81,82,7.592,0.84
82,83,8.176,0.97
83,84,7.478,1.01
84,85,6.682,1.1
85,86,6.512,1.12
86,87,7.62,0.96
87,88,8.564,1.01
88,89,9.298,0.78
89,90,9.31,0.83
90,91,8.732,0.84
91,92,8.544,0.87
92,93,9.198,1.02
93,94,9.606,0.96
94,95,9.57,1
95,96,9.496,1.16
96,97,9.81,1.09
97,98,10.084,0.92
98,99,10.206,1.01
99,100,9.53,0.99
100,101,9.584,1.03
101,102,9.874,0.92
102,103,10.86,1.08
103,104,11.878,1.03
104,105,12.38,0.97
105,106,12.386,1.06
106,107,12.124,0.93
107,108,11.562,0.94
108,109,11.63,1.01
109,110,12.072,1.03
110,111,13.476,0.91
111,112,14.756,0.97
112,113,15.104,0.92
113,114,14.936,1.01
114,115,14.892,1.03
115,116,15.162,1.03
116,117,16.174,1.05
117,118,16.564,0.97
118,119,16.004,1.01
119,120,15.876,1.08
120,121,17.054,0.92
121,122,19.1,0.88
122,123,21.308,0.88
123,124,22.236,0.99
124,125,21.03,0.96
125,126,20.818,1.06
126,127,21.444,0.96
127,128,23.422,1.01
128,129,25.012,0.91
129,130,24.544,0.88
130,131,23.596,1.07
131,132,23.546,1.02
132,133,25.028,0.74
133,134,27.806,0.82
134,135,30.856,0.94
135,136,31.256,1.14
136,137,31.288,1
137,138,30.484,0.94
138,139,30.206,0.79
139,140,31.18,0.91
140,141,32.392,1.11
141,142,33.826,0.94
142,143,34.932,0.95
143,144,35.436,1.11
144,145,35.714,0.93
145,146,35.13,1.01
146,147,35.898,1.07
147,148,38.292,0.91
148,149,40.882,0.99
149,150,41.602,0.95
150,151,40.1,1.02
151,152,37.574,1.1
152,153,37.562,0.97
153,154,41.618,0.93
154,155,46.976,0.92
155,156,50.344,0.99
156,157,51.64,0.99
157,158,50.734,1.1
158,159,48.586,1.17
159,160,45.598,1.04
160,161,42.25,1.18
161,162,40.582,1.19
162,163,44.986,1.05
163,164,52.37,0.98
164,165,58.676,0.9
165,166,60.232,0.88
166,167,57.592,0.93
167,168,54.592,1.04
168,169,53.43,0.91
169,170,54.302,0.82
170,171,54.768,0.87
171,172,54.6,0.91
172,173,55.168,1.03
173,174,55.484,1.03
174,175,57.218,1.09
175,176,60.554,1.07
176,177,63.656,1.06
177,178,65.684,0.92
178,179,66.066,1.03
179,180,66.66,1.09
180,181,66.53,0.87
181,182,67.408,0.93
182,183,68.368,0.96
183,184,67.79,0.87
184,185,66.558,0.99
185,186,66.014,1.05
186,187,66.76,1.12
187,188,68.95,1.02
188,189,71.934,1.1
189,190,74.11,0.9
190,191,75.576,0.96
191,192,76.314,1.02
192,193,76.1,1.07
193,194,76.018,1.11
194,195,75.522,1.07
195,196,74.338,1.03
196,197,74.546,0.86
197,198,74.672,0.99
198,199,75.708,1.02
199,200,75.776,1.03
200,201,77.134,0.9
201,202,77.698,1.03
202,203,79.372,1.02
203,204,81.166,1.15
204,205,81.584,0.96
205,206,82.254,0.96
206,207,82.136,0.89
207,208,82.152,1.07
208,209,82.56,1.1
209,210,82.248,1.06
210,211,81.734,1.13
211,212,81.924,1.05
212,213,82.538,1.31
213,214,83.6,1.09
214,215,84.742,1.05
215,216,86.576,1.03
216,217,87.804,0.97
217,218,88.512,1.03
218,219,89.072,1.06
219,220,88.926,0.92
220,221,88.974,0.99
221,222,89.282,0.99
222,223,89.088,0.98
223,224,88.676,1
224,225,87.916,1
225,226,88.118,0.94
226,227,87.762,1
227,228,87.914,1.08
228,229,88.496,0.9
229,230,89.52,1.21
230,231,90.458,1.16
231,232,91.104,0.99
232,233,91.816,1
233,234,92.386,1.04
234,235,92.466,1.15
235,236,92.528,1.08
236,237,92.346,0.95
237,238,91.884,1.04
238,239,91.93,0.97
239,240,92.016,0.85
240,241,91.822,0.93
241,242,91.898,1.07
242,243,91.754,0.86
243,244,92.552,1.06
244,245,93.236,1.09
245,246,94.09,0.98
246,247,94.77,1.05
247,248,95.092,1
248,249,94.878,0.97
249,250,94.656,1.15
250,251,94.52,0.98
251,252,94.64,1.04
252,253,94.802,0.98
253,254,95.2,1.09
254,255,95.284,1.01
255,256,95.48,1.05
256,257,95.31,1.03
257,258,95.268,1.01
258,259,95.368,0.93
259,260,95.418,0.86
260,261,95.624,1.02
261,262,95.692,0.97
262,263,95.478,0.98
263,264,95.378,0.86
264,265,95.446,1.09
265,266,95.282,1.03
266,267,95.348,1.02
267,268,95.5,0.97
268,269,95.696,1.06
269,270,95.568,0.96
270,271,95.37,0.96
271,272,95.508,0.92
272,273,95.47,0.91
273,274,95.642,0.92
274,275,95.886,0.95
275,276,95.658,0.98
276,277,95.868,1.01
277,278,96.048,0.87
278,279,96.478,0.91
279,280,96.588,0.81
280,281,96.382,0.83
281,282,96.218,0.92
282,283,96.164,0.98
283,284,96.4,0.91
284,285,96.284,0.88
285,286,96.262,0.95
286,287,96.462,0.96
287,288,96.66,1.08
288,289,96.602,0.99
289,290,96.484,0.96
290,291,96.544,0.96
291,292,96.472,1.17
292,293,96.318,0.91
293,294,96.664,0.89
294,295,96.664,0.94
295,296,96.566,0.96
296,297,96.782,1.09
297,298,96.952,0.92
298,299,97.006,1
299,300,96.82,0.87
300,301,96.796,0.95
301,302,96.78,1.07
302,303,96.986,1
303,304,96.808,0.98
304,305,96.612,1.01
305,306,96.576,0.95
306,307,97.012,1.02
307,308,97.256,1.09
308,309,97.102,1.04
309,310,97.05,0.95
310,311,96.948,0.94
311,312,97.024,0.98
312,313,97.144,1.04
313,314,97.29,1.1
314,315,97.108,0.99
315,316,97.08,0.99
316,317,97.024,1.01
317,318,96.864,1.05
318,319,97.178,0.97
319,320,97.294,0.98
320,321,97.068,1.09
321,322,97.12,1.06
322,323,97.472,1.12
323,324,97.304,1
324,325,97.322,1.02
325,326,97.372,1.05
326,327,97.344,1.14
327,328,97.298,1.02
328,329,97.23,0.98
329,330,97.29,1.03
330,331,97.168,0.97
331,332,97.22,1.07
332,333,97.276,1.04
333,334,97.418,1.04
334,335,97.736,1
335,336,97.534,1.08
336,337,97.314,0.96
337,338,96.958,1.03
338,339,97.082,1.11
339,340,97.318,0.95
340,341,97.604,0.98
341,342,97.792,1.15
342,343,97.668,1.09
343,344,97.62,0.98
344,345,97.482,1.02
345,346,97.354,1.01
346,347,97.478,1.07
347,348,97.666,0.94
348,349,97.684,1.01
349,350,97.676,0.99
350,351,97.682,1.04
351,352,97.774,0.91
352,353,97.632,1
353,354,97.684,1.09
354,355,97.706,1.06
355,356,97.692,0.91
356,357,97.62,1.09
357,358,97.712,1.11
358,359,97.912,1.16
359,360,97.832,1.1
360,361,97.608,1.03
361,362,97.628,0.98
362,363,97.83,1
363,364,98.028,1.03
364,365,97.918,1.18
365,366,97.606,1.02
366,367,97.756,1.13
367,368,97.87,1.09
368,369,98.07,1
369,370,98.13,0.81
370,371,97.75,0.96
371,372,97.64,0.97
372,373,97.592,0.96
373,374,97.862,0.99
374,375,98.028,0.99
375,376,98.178,1.03
376,377,98.352,0.96
377,378,98.096,0.9
378,379,97.66,0.86
379,380,97.612,1.02
380,381,98.15,1.01
381,382,98.406,0.88
382,383,98.218,1.08
383,384,98.006,0.96
384,385,97.82,1.1
385,386,97.748,1
386,387,98.014,0.95
387,388,98.31,0.99
388,389,98.466,1.03
389,390,98.298,0.96
390,391,98.09,0.99
391,392,97.86,0.89
392,393,97.874,1
393,394,98.052,1.02
394,395,98.302,0.97
395,396,98.228,1.02
396,397,98.13,1.04
397,398,98.068,1.11
398,399,98.082,0.93
399,400,98.298,0.91
400,401,98.144,1.03
401,402,98.194,1.03
402,403,98.098,1.01
403,404,98.192,0.99
404,405,98.306,1.04
