,epoch,Train_accuracy,Test_accuracy
0,1,1.068,1
1,2,1.08,1.04
2,3,1.116,1.39
3,4,1.132,0.83
4,5,1.166,1
5,6,1.182,1
6,7,1.156,1
7,8,1.118,1
8,9,1.174,1
9,10,1.21,1
10,11,1.226,0.98
11,12,1.226,1.07
12,13,1.218,1
13,14,1.23,1
14,15,1.19,1.07
15,16,1.212,1.31
16,17,1.264,0.99
17,18,1.194,0.99
18,19,1.18,1.04
19,20,1.236,0.92
20,21,1.172,0.95
21,22,1.21,0.97
22,23,1.122,1.02
23,24,1.124,1.02
24,25,1.11,0.58
25,26,1.166,1
26,27,1.256,0.99
27,28,1.268,1
28,29,1.272,1.1
29,30,1.332,1.1
30,31,1.202,0.79
31,32,1.26,1.05
32,33,1.228,1.03
33,34,1.242,0.96
34,35,1.21,1.01
35,36,1.264,0.86
36,37,1.202,1.02
37,38,1.256,0.92
38,39,1.228,0.94
39,40,1.22,0.94
40,41,1.18,0.96
41,42,1.248,0.93
42,43,1.224,1
43,44,1.202,1
44,45,1.178,1
45,46,1.176,1
46,47,1.1,1
47,48,1.138,0.99
48,49,1.11,1
49,50,1.142,0.99
50,51,1.132,0.99
51,52,1.106,0.99
52,53,1.104,1.01
53,54,1.112,1
54,55,1.128,0.99
55,56,1.162,1
56,57,1.212,0.99
57,58,1.212,0.99
58,59,1.256,0.98
59,60,1.302,1.01
60,61,1.256,0.87
61,62,1.294,0.86
62,63,1.226,1
63,64,1.24,0.98
64,65,1.384,0.98
65,66,1.446,0.92
66,67,1.556,0.88
67,68,1.592,0.86
68,69,1.656,0.9
69,70,1.572,0.85
70,71,1.716,0.99
71,72,1.936,1.08
72,73,1.978,0.94
73,74,2.05,0.96
74,75,2.106,1.04
75,76,2.376,1.01
76,77,2.668,1.04
77,78,2.742,1.12
78,79,2.838,1.02
79,80,3.006,1.06
80,81,3.132,1.14
81,82,3.456,1
82,83,3.87,0.94
83,84,4.362,1.06
84,85,4.768,0.99
85,86,4.99,1
86,87,4.974,0.98
87,88,5.154,1.11
88,89,5.27,1.11
89,90,5.678,0.99
90,91,5.978,0.91
91,92,6.232,0.91
92,93,6.582,0.91
93,94,6.688,0.93
94,95,7.324,1.08
95,96,8.104,1.04
96,97,8.918,1.02
97,98,8.758,0.94
98,99,8.944,0.97
99,100,9.296,0.91
100,101,10.518,0.85
101,102,11.764,0.98
102,103,11.874,0.88
103,104,11.272,1.04
104,105,10.488,0.94
105,106,11,1.14
106,107,12.446,1.12
107,108,13.988,1.01
108,109,14.974,1.05
109,110,15.16,1.03
110,111,15.014,0.89
111,112,14.19,0.96
112,113,13.916,1.23
113,114,14.524,1.05
114,115,16.458,0.97
115,116,18.282,1.01
116,117,18.5,1.12
117,118,16.24,0.91
118,119,14.948,1.08
119,120,16.888,0.95
120,121,19.904,0.97
121,122,22.798,0.81
122,123,24.058,1.04
123,124,23.42,1
124,125,20.434,0.93
125,126,18.408,0.99
126,127,20.052,0.96
127,128,22.86,0.92
128,129,24.976,0.95
129,130,25.396,0.94
130,131,23.962,0.98
131,132,22.84,0.92
132,133,22.316,0.95
133,134,24.65,0.93
134,135,27.286,0.88
135,136,30.014,0.94
136,137,31.096,0.92
137,138,30.824,1.01
138,139,29.576,0.93
139,140,27.482,0.8
140,141,25.418,0.98
141,142,26.464,0.97
142,143,29.388,1.07
143,144,32.142,1.19
144,145,34.058,1.1
145,146,34.666,0.95
146,147,33.446,1.11
147,148,31.638,1.19
148,149,30.124,0.81
149,150,29.982,0.84
150,151,31.468,0.84
151,152,34.586,0.87
152,153,36.76,0.93
153,154,37.91,0.98
154,155,37.642,1.04
155,156,35.934,0.95
156,157,34.908,1.01
157,158,36.342,0.97
158,159,38.74,1.01
159,160,40.712,0.97
160,161,41.704,1.01
161,162,41.61,1.12
162,163,40.144,0.85
163,164,38.864,0.94
164,165,37.604,0.8
165,166,37.31,0.82
166,167,38.432,0.89
167,168,40.284,1.08
168,169,42.38,0.93
169,170,44.336,0.93
170,171,45.712,0.87
171,172,46.792,0.86
172,173,47.554,1
173,174,47.972,0.95
174,175,48.132,0.85
175,176,48.374,0.91
176,177,48.734,0.89
177,178,47.696,0.95
178,179,46.696,0.94
179,180,45.65,1.05
180,181,44.802,0.98
181,182,45.846,0.99
182,183,47.942,0.97
183,184,50.238,0.89
184,185,51.914,0.85
185,186,53.41,0.75
186,187,54.234,0.96
187,188,54.714,0.76
188,189,54.394,0.87
189,190,55.318,0.84
190,191,55.168,0.84
191,192,55.406,0.91
192,193,55.64,0.89
193,194,55.046,0.88
194,195,54.788,0.9
195,196,55.566,0.98
196,197,56.394,0.96
197,198,57.686,0.97
198,199,58.664,1.02
199,200,59.522,0.93
200,201,60.636,1.09
201,202,61.394,1.15
202,203,62.216,1.09
203,204,62.938,0.92
204,205,63.802,0.96
205,206,65.298,0.97
206,207,65.55,0.92
207,208,65.928,0.93
208,209,66.354,0.85
209,210,66.264,0.92
210,211,66.894,0.84
211,212,67.216,0.92
212,213,67.872,0.96
213,214,67.976,0.99
214,215,67.62,1
215,216,67.942,0.91
216,217,67.796,0.92
217,218,67.622,1.04
218,219,68.368,0.91
219,220,68.492,0.98
220,221,68.906,0.99
221,222,69.756,0.91
