,epoch,Train_accuracy,Test_accuracy
0,1,1,1
1,2,1.056,1.05
2,3,1.098,1.05
3,4,1.086,1.19
4,5,1.206,1
5,6,1.188,1
6,7,1.214,1
7,8,1.174,1
8,9,1.158,1
9,10,1.176,1
10,11,1.182,0.94
11,12,1.18,0.95
12,13,1.182,0.93
13,14,1.192,1
14,15,1.2,0.81
15,16,1.258,1
16,17,1.262,1.02
17,18,1.308,0.92
18,19,1.27,0.98
19,20,1.27,0.94
20,21,1.298,0.65
21,22,1.238,0.69
22,23,1.222,1
23,24,1.192,1
24,25,1.166,1
25,26,1.228,1
26,27,1.278,1.15
27,28,1.18,1
28,29,1.176,0.96
29,30,1.212,0.97
30,31,1.214,0.85
31,32,1.24,1
32,33,1.2,0.89
33,34,1.286,0.97
34,35,1.242,1
35,36,1.256,1
36,37,1.278,0.96
37,38,1.274,0.93
38,39,1.29,1.04
39,40,1.22,1.05
40,41,1.236,0.96
41,42,1.192,0.69
42,43,1.158,0.72
43,44,1.224,0.65
44,45,1.184,0.71
45,46,1.232,0.8
46,47,1.242,1
47,48,1.274,1
48,49,1.264,1
49,50,1.168,0.81
50,51,1.188,0.73
51,52,1.258,1
52,53,1.124,0.99
53,54,1.144,1
54,55,1.11,1
55,56,1.052,0.99
56,57,1.1,1
57,58,1.172,0.96
58,59,1.098,1.01
59,60,1.152,1.03
60,61,1.148,1.02
61,62,1.148,1.02
62,63,1.184,1.04
63,64,1.232,1.02
64,65,1.204,1.02
65,66,1.238,1.01
66,67,1.274,0.94
67,68,1.238,1.03
68,69,1.28,1.01
69,70,1.254,0.89
70,71,1.286,0.97
71,72,1.382,1.03
72,73,1.388,0.86
73,74,1.512,1.08
74,75,1.464,1.09
75,76,1.544,1.32
76,77,1.62,1.23
77,78,1.686,1.24
78,79,1.686,1.19
79,80,1.772,1.2
80,81,1.906,1.11
81,82,1.81,1.23
82,83,1.896,1.29
83,84,2.016,1.14
84,85,2.162,1.11
85,86,2.158,1.17
86,87,2.216,0.94
87,88,2.486,0.93
88,89,2.644,1.12
89,90,2.872,1.16
90,91,2.934,1.16
91,92,3.182,1.04
92,93,3.366,1.04
93,94,3.154,1.36
94,95,2.938,1.02
95,96,3.174,1.07
96,97,3.708,1
97,98,4.254,1
98,99,4.628,0.96
99,100,4.756,1.12
100,101,4.596,0.92
101,102,4.524,0.94
102,103,4.432,1.27
103,104,4.616,1.23
104,105,4.846,1.37
105,106,5.42,1.11
106,107,6.026,1.11
107,108,6.536,1.12
108,109,6.534,0.92
109,110,6.28,1.09
110,111,6.468,1.25
111,112,6.728,1.35
112,113,7.082,1.34
113,114,7.19,1.16
114,115,6.74,1.1
115,116,6.782,1.05
116,117,7.646,1.04
117,118,9.012,1
118,119,9.986,0.98
119,120,10.44,0.93
120,121,9.376,1.07
121,122,8.442,1.16
122,123,8.666,1.02
123,124,9.648,0.88
124,125,11.006,0.89
125,126,12.814,0.75
126,127,14.068,0.92
127,128,14.45,1.01
128,129,14.52,1.19
129,130,13.99,1.02
130,131,13.574,1.15
131,132,13.834,1.06
132,133,14.592,1.08
133,134,14.556,1.02
134,135,14.356,1
135,136,14.778,0.81
136,137,15.962,0.98
137,138,16.676,0.91
138,139,16.31,0.93
139,140,15.944,0.96
140,141,15.396,0.99
141,142,15.428,0.94
142,143,15.782,0.97
143,144,16.066,0.95
144,145,17.068,1.19
145,146,18.994,1.09
146,147,21.274,1.29
147,148,22.52,1.28
148,149,22.288,1.27
149,150,20.372,1.13
150,151,18.778,1.27
151,152,20.44,1.31
152,153,22.932,1.15
