,epoch,Train_accuracy,Test_accuracy
0,1,9.86166666666667,10
1,2,9.85,10
2,3,9.855,10
3,4,9.84,10
4,5,9.87833333333333,10
5,6,9.82666666666667,10
6,7,9.84333333333333,10
7,8,9.88833333333333,12.08
8,9,9.885,10.78
9,10,9.95666666666667,10
10,11,9.885,9.73
11,12,10.0233333333333,14.09
12,13,10.005,11.69
13,14,10.105,12.82
14,15,10.0583333333333,18.33
15,16,10.07,20.39
16,17,10.19,19.09
17,18,10.3183333333333,17.5
18,19,10.3716666666667,17.89
19,20,10.59,17.54
20,21,10.8016666666667,15.59
21,22,10.925,13.17
22,23,11.0983333333333,12.15
23,24,11.0166666666667,11.49
24,25,11.385,11.84
25,26,11.5516666666667,12.49
26,27,11.5,13.77
27,28,11.7483333333333,13.19
28,29,12.0766666666667,12.71
29,30,12.5583333333333,11.85
30,31,12.7833333333333,9.89
31,32,13.155,9.51
32,33,13.4233333333333,9.92
33,34,13.9033333333333,9.56
34,35,14.3316666666667,9.09
35,36,14.8383333333333,8.99
36,37,15.4283333333333,8.69
37,38,15.7966666666667,9.06
38,39,16.115,9.43
39,40,16.385,9.29
40,41,16.7433333333333,9.36
41,42,17.3883333333333,8.92
42,43,18.055,9.8
43,44,18.4433333333333,10.68
44,45,18.7966666666667,10.28
45,46,18.865,12.26
46,47,19.06,10.75
47,48,19.4366666666667,11.96
48,49,19.985,11.48
49,50,20.6216666666667,11.31
50,51,20.8583333333333,11.7
51,52,21.1183333333333,11.21
52,53,22.405,10.48
53,54,22.0016666666667,11.39
54,55,22.0066666666667,10.23
55,56,22.4533333333333,8.58
56,57,22.8983333333333,8.25
57,58,23.8116666666667,8.67
58,59,24.7133333333333,8.91
59,60,26.26,8.82
60,61,26.71,8.81
61,62,27.21,9.21
62,63,27.5933333333333,9.67
63,64,27.9266666666667,9.4
64,65,28.135,9.48
65,66,28.4183333333333,9.11
66,67,29.02,9.37
67,68,29.8,9.34
68,69,30.3233333333333,9.42
69,70,31.3533333333333,9.19
70,71,31.7083333333333,9.2
71,72,31.6466666666667,9.48
72,73,31.5583333333333,9.47
73,74,30.2983333333333,9.2
74,75,29.0083333333333,9.49
75,76,28.265,9.81
76,77,29.6466666666667,10.12
77,78,30.8933333333333,10.34
78,79,31.82,9.92
79,80,32.86,9.64
80,81,34.7183333333333,10.25
81,82,36.1116666666667,10.14
82,83,36.6083333333333,9.71
83,84,37.05,9.9
84,85,36.855,9.36
85,86,35.7616666666667,9.54
86,87,35.3666666666667,9.3
87,88,34.92,9.76
88,89,36.3666666666667,9.83
89,90,36.8083333333333,9.68
90,91,36.9633333333333,9.49
91,92,37.26,9.05
92,93,38.275,8.68
93,94,39.0283333333333,8.54
94,95,39.7133333333333,8.87
95,96,39.9416666666667,9.06
96,97,39.5383333333333,9.2
97,98,39.2916666666667,9.41
98,99,38.9116666666667,9.53
99,100,39.1083333333333,9.44
100,101,39.6616666666667,9.8
101,102,40.9266666666667,9.91
102,103,41.06,9.58
103,104,41.8983333333333,9.59
104,105,42.97,9.43
105,106,42.2633333333333,9.38
106,107,42.0566666666667,9.1
107,108,41.9866666666667,9.35
108,109,41.1066666666667,9.2
109,110,40.805,9.45
110,111,41.3683333333333,9.84
111,112,42.31,10.06
112,113,42.6366666666667,10.16
113,114,42.305,9.5
114,115,41.03,9.29
115,116,40.1216666666667,9.71
116,117,39.6683333333333,9.26
117,118,40.625,9.51
118,119,41.33,9.62
119,120,42.0516666666667,9.58
120,121,42.49,9.77
121,122,43.1966666666667,9.5
122,123,43.6816666666667,9.76
123,124,43.915,9.84
124,125,44.2883333333333,9.91
125,126,44.5416666666667,9.75
126,127,44.7316666666667,10.2
127,128,45.0283333333333,10
128,129,44.6866666666667,9.92
129,130,44.9366666666667,9.95
130,131,46.03,9.91
131,132,46.035,9.63
132,133,45.5016666666667,9.87
133,134,44.975,9.78
134,135,44.6166666666667,9.74
135,136,43.9333333333333,9.26
136,137,44.7333333333333,9.55
137,138,45.52,9.47
138,139,46.555,9.69
139,140,47.1483333333333,9.55
140,141,47.78,10.09
141,142,48.3916666666667,9.41
142,143,48.9283333333333,9.43
143,144,49.0933333333333,9.33
144,145,49.17,9.61
145,146,48.38,9.32
146,147,47.57,9.37
147,148,47.08,9.31
148,149,46.86,10.12
149,150,47.405,9.85
150,151,47.97,9.67
151,152,48.265,9.63
152,153,48.37,9.56
153,154,48.7816666666667,9.81
154,155,49.0966666666667,10.05
155,156,48.9916666666667,9.28
156,157,49.1583333333333,9.37
157,158,49.08,9.38
158,159,48.8866666666667,9.49
159,160,48.2366666666667,9.49
160,161,47.94,9.5
161,162,48.705,9.01
162,163,49.1966666666667,9.29
163,164,49.505,9.26
164,165,50.97,9.62
165,166,51.835,9.75
166,167,52.23,9.78
167,168,52.92,10.05
168,169,52.7883333333333,10.21
169,170,52.315,9.82
170,171,51.2616666666667,9.93
171,172,50.7283333333333,9.81
172,173,50.4233333333333,9.91
173,174,50.1883333333333,9.61
174,175,50.255,9.8
175,176,50.7833333333333,9.75
176,177,50.8216666666667,10.24
177,178,51.5633333333333,10.07
178,179,51.9883333333333,10.43
179,180,52.3333333333333,9.98
180,181,52.2916666666667,9.67
181,182,52.9133333333333,9.67
182,183,53.1316666666667,9.41
183,184,53.2383333333333,9.13
184,185,53.9633333333333,9.4
185,186,54.1566666666667,9.12
186,187,54.01,8.98
187,188,53.365,8.64
188,189,52.705,9.04
189,190,52.3366666666667,8.7
190,191,51.75,9
191,192,51.075,8.88
192,193,50.59,8.82
193,194,50.9766666666667,8.99
194,195,51.0916666666667,9.26
195,196,51.445,9.66
196,197,52.0233333333333,10.07
197,198,51.995,9.94
198,199,52.1283333333333,9.82
199,200,52.3116666666667,9.64
200,201,53.02,9.38
201,202,53.4483333333333,8.83
202,203,54.225,9.41
203,204,54.4616666666667,9.36
204,205,55.0783333333333,9.21
205,206,55.4883333333333,9.17
206,207,56.0283333333333,9.68
207,208,56.095,9.16
208,209,56.3416666666667,9.29
209,210,55.9333333333333,9.25
210,211,55.385,9.71
211,212,55.3816666666667,9.92
212,213,55.4933333333333,9.98
213,214,54.7466666666667,10.29
214,215,54.8516666666667,10.18
215,216,55.03,10.74
216,217,55.525,10.24
217,218,55.5966666666667,9.98
218,219,55.8466666666667,10.31
219,220,56.4383333333333,10.09
220,221,56.7133333333333,10.4
221,222,57.0683333333333,9.98
222,223,57.64,10.27
223,224,57.4066666666667,9.88
224,225,57.6916666666667,9.66
225,226,57.93,10.09
226,227,57.9883333333333,10.13
227,228,58.3716666666667,10.23
228,229,58.57,10.12
229,230,58.51,10.38
230,231,58.6566666666667,9.61
231,232,58.7816666666667,10.2
232,233,58.7116666666667,9.93
233,234,58.9616666666667,10.06
234,235,59.09,10.06
235,236,59.1133333333333,9.88
236,237,59.225,9.85
237,238,59.675,9.81
238,239,59.24,9.73
239,240,58.7616666666667,9.67
240,241,58.6683333333333,9.82
241,242,58.3266666666667,10.01
242,243,57.9933333333333,9.71
243,244,57.95,9.74
244,245,58.2866666666667,10.04
245,246,58.285,9.69
246,247,58.2266666666667,9.45
247,248,58.5483333333333,9.31
248,249,58.9633333333333,9.69
249,250,59.1433333333333,9.6
250,251,59.1466666666667,9.66
251,252,59.8716666666667,9.58
252,253,60.385,9.61
253,254,60.8116666666667,9.79
254,255,61.38,9.79
255,256,61.8316666666667,9.91
256,257,62.4133333333333,9.23
257,258,62.9066666666667,9.45
258,259,62.965,9.76
259,260,63.2366666666667,9.73
260,261,63.4916666666667,9.42
261,262,63.2366666666667,9.84
262,263,63.66,9.52
263,264,64.1033333333333,9.52
264,265,64.6316666666667,9.51
265,266,64.69,9.87
266,267,64.745,9.68
267,268,65.2616666666667,9.91
268,269,65.4766666666667,9.31
269,270,64.935,9.01
270,271,65.5766666666667,9.7
271,272,65.6283333333333,9.72
272,273,65.8616666666667,9.44
273,274,65.9216666666667,9.74
274,275,65.7716666666667,9.68
275,276,65.6783333333333,9.74
276,277,65.445,10.34
277,278,65.1433333333333,9.77
278,279,65.4916666666667,9.99
279,280,65.1233333333333,9.46
280,281,64.8533333333333,9.4
281,282,65.1533333333333,9.85
282,283,65.34,9.94
283,284,64.965,9.78
284,285,64.985,9.51
285,286,65.315,10.27
286,287,65.8866666666667,9.71
287,288,67.085,10.15
288,289,67.4166666666667,9.73
289,290,67.76,9.68
290,291,67.815,9.71
291,292,68.435,9.45
292,293,68.585,9.75
293,294,69.2466666666667,9.66
294,295,69.8416666666667,9.5
295,296,70.0233333333333,9.97
296,297,70.2983333333333,9.64
297,298,70.3316666666667,9.27
298,299,71.115,9.82
299,300,70.9983333333333,9.45
300,301,71.29,9.41
301,302,71.695,9.58
302,303,71.9783333333333,9.64
303,304,71.6333333333333,9.78
304,305,71.83,9.78
