,Train_accuracy,Train_accuracy_original,Test_accuracy,epoch number
0,0.7317166924476624,0.8883666396141052,0.8960999846458435,1
1,0.7666333317756653,0.9312666654586792,0.9312999844551086,2
2,0.7759000062942505,0.9427333474159241,0.9427000284194946,3
3,0.7789833545684814,0.9462666511535645,0.9459999799728394,4
4,0.7853333353996277,0.9547333121299744,0.954800009727478,5
5,0.7885666489601135,0.9589499831199646,0.9575999975204468,6
6,0.791616678237915,0.9624000191688538,0.963100016117096,7
7,0.7939833402633667,0.9653333425521851,0.963100016117096,8
8,0.795199990272522,0.96670001745224,0.9646000266075134,9
9,0.7977333068847656,0.9695000052452087,0.9656999707221985,10
10,0.7992333173751831,0.9710000157356262,0.9664000272750854,11
11,0.8010333180427551,0.9734166860580444,0.9685999751091003,12
12,0.8011833429336548,0.9733666777610779,0.968999981880188,13
13,0.8033999800682068,0.9757500290870667,0.9700000286102295,14
14,0.8042333126068115,0.9769499897956848,0.9707000255584717,15
15,0.8028500080108643,0.9743333458900452,0.9666000008583069,16
16,0.805816650390625,0.9785833358764648,0.9710999727249146,17
17,0.8065166473388672,0.9789666533470154,0.9707000255584717,18
18,0.8083500266075134,0.9809666872024536,0.9729999899864197,19
19,0.809066653251648,0.9813666939735413,0.9724000096321106,20
20,0.8083000183105469,0.9794833064079285,0.9700000286102295,21
21,0.8095499873161316,0.9810333251953125,0.9728000164031982,22
22,0.8094833493232727,0.9802333116531372,0.9714999794960022,23
23,0.8109166622161865,0.9818999767303467,0.9710000157356262,24
24,0.8101166486740112,0.9789666533470154,0.9697999954223633,25
25,0.8114833235740662,0.9806166887283325,0.9714999794960022,26
26,0.8120833039283752,0.9811499714851379,0.972000002861023,27
27,0.8133999705314636,0.9818833470344543,0.9703999757766724,28
28,0.8133333325386047,0.980566680431366,0.9686999917030334,29
29,0.8141666650772095,0.9816166758537292,0.9703999757766724,30
30,0.8130000233650208,0.9797000288963318,0.9672999978065491,31
31,0.8168833255767822,0.9821666479110718,0.9697999954223633,32
32,0.8169166445732117,0.9830166697502136,0.9717000126838684,33
33,0.8173999786376953,0.9815333485603333,0.9682999849319458,34
34,0.8183000087738037,0.9809666872024536,0.9693999886512756,35
35,0.8189833164215088,0.9804333448410034,0.967199981212616,36
36,0.8189499974250793,0.9828166961669922,0.9707000255584717,37
37,0.8217333555221558,0.981333315372467,0.968999981880188,38
38,0.8216333389282227,0.9797166585922241,0.9666000008583069,39
39,0.8199499845504761,0.9761499762535095,0.9617000222206116,40
40,0.8233833312988281,0.9726999998092651,0.9609000086784363,41
41,0.826200008392334,0.9743666648864746,0.9613000154495239,42
42,0.8266666531562805,0.973800003528595,0.9610000252723694,43
43,0.8289666771888733,0.9731166958808899,0.9595000147819519,44
44,0.8326166868209839,0.9692166447639465,0.9593999981880188,45
45,0.8291166424751282,0.9695500135421753,0.9592000246047974,46
46,0.8327333331108093,0.9660500288009644,0.9580000042915344,47
47,0.8356333374977112,0.9672499895095825,0.9542999863624573,48
48,0.8373333215713501,0.9547833204269409,0.9445000290870667,49
49,0.8367499709129333,0.9561499953269958,0.9472000002861023,50
50,0.8375166654586792,0.9591666460037231,0.9472000002861023,51
51,0.8404333591461182,0.9560333490371704,0.9447000026702881,52
52,0.8459833264350891,0.948116660118103,0.9384999871253967,53
53,0.848550021648407,0.9526833295822144,0.9458000063896179,54
54,0.8521833419799805,0.9439499974250793,0.9395999908447266,55
55,0.8495833277702332,0.9358000159263611,0.9315000176429749,56
56,0.8559333086013794,0.9287499785423279,0.9266999959945679,57
57,0.8603166937828064,0.9363833069801331,0.9330000281333923,58
58,0.8567666411399841,0.9363166689872742,0.9340000152587891,59
59,0.8572999835014343,0.9386166930198669,0.9372000098228455,60
60,0.8671500086784363,0.9289500117301941,0.9327999949455261,61
61,0.8701833486557007,0.9146333336830139,0.9211999773979187,62
62,0.8720666766166687,0.9067000150680542,0.9050999879837036,63
63,0.8719666600227356,0.9213166832923889,0.9236000180244446,64
64,0.878433346748352,0.9068333506584167,0.9103000164031982,65
65,0.8869500160217285,0.8844833374023438,0.8851000070571899,66
66,0.8755666613578796,0.9091833233833313,0.9101999998092651,67
67,0.8876833319664001,0.8962833285331726,0.9072999954223633,68
68,0.8934333324432373,0.901449978351593,0.9135000109672546,69
69,0.8937666416168213,0.8882666826248169,0.8952000141143799,70
70,0.9023500084877014,0.8900833129882812,0.8985999822616577,71
71,0.8868833184242249,0.8903999924659729,0.8934000134468079,72
72,0.9058666825294495,0.8899666666984558,0.9032999873161316,73
73,0.9169833064079285,0.8792999982833862,0.8960999846458435,74
74,0.9141166806221008,0.8878833055496216,0.9034000039100647,75
75,0.9163333177566528,0.8712999820709229,0.8804000020027161,76
76,0.9106500148773193,0.8755666613578796,0.8859000205993652,77
77,0.9181166887283325,0.871233344078064,0.8899000287055969,78
78,0.9239000082015991,0.8525000214576721,0.8657000064849854,79
79,0.916366696357727,0.8418999910354614,0.8521999716758728,80
80,0.9182999730110168,0.8591499924659729,0.8804000020027161,81
81,0.9302833080291748,0.8541833162307739,0.870199978351593,82
82,0.9351333379745483,0.8656666874885559,0.8906999826431274,83
83,0.937166690826416,0.8637333512306213,0.8842999935150146,84
84,0.934249997138977,0.8564000129699707,0.8777999877929688,85
85,0.9532333612442017,0.8527166843414307,0.8806999921798706,86
86,0.9508500099182129,0.8476499915122986,0.8747000098228455,87
87,0.9385833144187927,0.8609333038330078,0.8881999850273132,88
88,0.9527833461761475,0.8541833162307739,0.8901000022888184,89
89,0.9425333142280579,0.8465833067893982,0.8650000095367432,90
